eids,input,prediction,actual,generation
Id1193,Brandon_Carter knownFor Doomsday_argument, Brandon Carter is known for the Doomsday argument. ,"['Brandon Carter is known for his work with the Doomsday argument.', 'Brandon Carter is known for his Doomsday argument.', 'Brandon Carter is known for the Doomsday argument.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Brandon_Carter knownFor Doomsday_argument [/TRIPLE] [ANW] Brandon Carter is known for the Doomsday argument. [/ANW] </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s"
Id427,"Piotr_Hallmann birthPlace Gdynia,_Poland Gdynia,_Poland timeZone Central_European_Time Piotr_Hallmann weight 70.308"," Piotr Hallmann was born in Gdynia, Poland, which is in the Central European Time zone. He weighs 70.308. ","['Piotr Hallmann who weighs 70.308 kg was born in Gdynia, Poland which has the Central European timezone.', 'The 70.308 kg Piotr Hallmann was born in Gdynia, Poland which is on Central European Time.', 'Piotr Hallmann weighs 70.308kg and was born in Gdynia, Poland, which is in the Central European timezone.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Piotr_Hallmann birthPlace Gdynia,_Poland Gdynia,_Poland timeZone Central_European_Time Piotr_Hallmann weight 70.308 [/TRIPLE] [ANW] Piotr Hallmann was born in Gdynia, Poland, which is in the Central European Time zone. He weighs 70.308. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </"
Id1475,Darinka_Dentcheva influencedBy Andrzej_Piotr_Ruszczyński Darinka_Dentcheva professionalField Mathematical_optimization," Darinka Dentcheva, who is influenced by Andrzej Piotr Ruszczyński, works in the field of Mathematical optimization. ","['Influenced by Andrzej Piotr Ruszczyński, Darinka Dentcheva became a professional in the field of mathematical optimization.', 'Darinka Dentcheva was into field and people such as Mathematical optimization and was influenced by Andrzej Piotr Ruszczynski.', 'Darinka Dentcheva, a mathematician working in the field of mathematical optimization, developed a theory influenced by Andrzej Piotr Ruszczyński.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Darinka_Dentcheva influencedBy Andrzej_Piotr_Ruszczyński Darinka_Dentcheva professionalField Mathematical_optimization [/TRIPLE] [ANW] Darinka Dentcheva, who is influenced by Andrzej Piotr Ruszczyński, works in the field of Mathematical optimization. [/ANW] </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p> </s> </p"
Id766,Istanbul utcOffset +2, Istanbul has a UTC offset of +2. ,"['Istanbul is located in the +2 UTC timezone.', 'The UTC offset for Istanbul is +2.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Istanbul utcOffset +2 [/TRIPLE] [ANW] Istanbul has a UTC offset of +2. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s"
Id486,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China, Nie Haisheng was born on 1964-10-13 and is a national of the People's Republic of China. ,"[""Nie Haisheng was born on the 13th of October, 1964 and is from the People's Republic of China."", ""Nie Haisheng, born on 10/13/1964, is a citizen of the People's Republic of China."", ""Nie Haisheng was born on October 13, 1964 in the People's Republic of China.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China [/TRIPLE] [ANW] Nie Haisheng was born on 1964-10-13 and is a national of the People's Republic of China. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s"
Id480,"Ciudad_Ayala country Mexico Ciudad_Ayala governmentType Council-manager_government Ciudad_Ayala leaderTitle ""City Manager"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539 Ciudad_Ayala type City Ciudad_Ayala utcOffset −6"," Ciudad Ayala is a city in Mexico with a Council-manager government and a city manager as its leader. The city has a UTC offset of -6 and a population of 1,777,539 with a population density of 1604.0. ","['Ciudad Ayala is a city located in Mexico with the population density of 1604.0 and its population of the metropolitan area is 1,777,539, where its UTC offset is -6.The government type of Ciudad Ayala is council-manager government and one of its leaders is called the City Manager.', 'Ciudad Ayala an city of metropolitan area 1,777,539 with population density of 1604.0 was lead by the City Manager. It is located in Mexico uses a council-manager government which falls into UTC offset -6 time zone.', 'Ciudad Ayala, a city in Mexico with population density and population of 1604 and 1777539 respectively, has a UTC offset of -6. The government type in the city of Ciudad Ayala is council-manager and the leader title is City Manager.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Ciudad_Ayala country Mexico Ciudad_Ayala governmentType Council-manager_government Ciudad_Ayala leaderTitle ""City Manager"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539 Ciudad_Ayala type City Ciudad_Ayala utcOffset −6 [/TRIPLE] [ANW] Ciudad Ayala is a city in Mexico with a Council-manager government and a city manager as its leader. The city has a UTC offset of -6 and a population of 1,777,539 with a population density of 1604.0. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>"
Id110,"Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva knownFor Bondareva–Shapley_theorem"," Olga Bondareva was born in Leningrad, USSR on 27 April 1937. Her birth name was Olga Nikolaevna Bondareva and she attended Leningrad State University. She is known for the Bondareva-Shapley theorem. ","['Olga Bondareva (born Olga Nikolaevna Bondareva, on April 27, 1937, in Leningrad, USSR) graduated from Leningrad State University and is known for Bondareva-Shapley theorem.', 'Olga Bondareva, born in Leningrad, USSR on the date April 27, 1937 as ""Olga Nikolaevna Bondareva"", is alumni of Leningrad State University and known for the Bondareva-Shapley theorem.', 'Olga Bondareva with birth name ""Olga Nikolaevna Bondareva"" was born in Leningrad, USSR on April 27, 1937. A Leningrad State University graduate, she is known for Bondareva-Shapley theorem.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva knownFor Bondareva–Shapley_theorem [/TRIPLE] [ANW] Olga Bondareva was born in Leningrad, USSR on 27 April 1937. Her birth name was Olga Nikolaevna Bondareva and she attended Leningrad State University. She is known for the Bondareva-Shapley theorem. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </"
Id775,"Alan_B._Miller_Hall address ""101 Ukrop Way"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia"," The Mason School of Business is located in the United States and are the current tenants of the Alan B. Miller Hall, which is located at 101 Ukrop Way, Virginia. ","['The Mason School of Business (located in the United States) are the current tenants of Alan B Miller Hall. Its address is 101 Ukrop Way, located in Virginia.', 'The Mason School of Business are the current tenants of Alan B Miller Hall, located at 101 Ukrop Way in Virginia in the United States.', 'The Alan B Miller Hall is located in the United States in the state of Virginia at the address of 101 Ukrop Way. The Mason School of Business is currently the tenant of the Alan B Miller Hall.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alan_B._Miller_Hall address ""101 Ukrop Way"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia [/TRIPLE] [ANW] The Mason School of Business is located in the United States and are the current tenants of the Alan B. Miller Hall, which is located at 101 Ukrop Way, Virginia. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>"
Id1432,Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome runwayLength 1095.0, Bedford Aerodrome is 83.2104 metres above sea level and has a runway length of 1095.0. ,"['The Bedford Aerodrome is 83.2 meters above sea level with length of 1095.', 'Bedford Aerodrome is at an elevation of 83.2104 above sea level with a runway length of 1095.0.', 'The Bedford Aerodrome elevation above the sea level is 83.2104 meters and has a runway length of 1095.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome runwayLength 1095.0 [/TRIPLE] [ANW] Bedford Aerodrome is 83.2104 metres above sea level and has a runway length of 1095.0. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s"
Id1189,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China Nie_Haisheng occupation Fighter_pilot, Nie Haisheng was born in the People's Republic of China on 1964-10-13 and was a fighter pilot. ,"[""Former fighter pilot Nie Haisheng was born in the People's Republic of China on October 13, 1964."", 'A former fighter pilot, Chinese national Nie Haisheng was born on October 13, 1964.', 'Nie Haisheng, citizen of the People’s Republic of China born on 10/13/1964, is a fighter pilot.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China Nie_Haisheng occupation Fighter_pilot [/TRIPLE] [ANW] Nie Haisheng was born in the People's Republic of China on 1964-10-13 and was a fighter pilot. [/ANW] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </"
