eid,size,dataset_type,category,shape_type,data_unit,sentence
Id17,3,en,SportsTeam,mixed,Jens_Härtel club SV_Babelsberg_03 Jens_Härtel club FC_Sachsen_Leipzig 1._FC_Magdeburg manager Jens_Härtel,The manager of FC Magdeburg is Jens Härtel who plays for SV Babelsberg 03 and has represented the club FC Sachsen Leipzig.
Id147,2,en,Food,sibling,Bakso country Indonesia Bakso ingredient Noodle,Bakso contains noodles and comes from Indonesia.
Id24,4,en,SportsTeam,mixed,Italy capital Rome Italy demonym Italians A.C._Lumezzane ground Italy Italy language Italian_language,Rome is the capital of Italy which is inhabited by Italians and where A.C. Lumezzane plays. Italian is the language spoken in the country.
Id188,3,en,Food,sibling,"Batagor country Indonesia Batagor ingredient Peanut_sauce Batagor servingTemperature ""hot""","A traditional dish of Indonesia is called Batagor, which has peanut sauce as an ingredient and should be served hot."
Id76,1,en,Building,,"Addis_Ababa_City_Hall currentTenants ""Government of Addis Ababa""","The "" Government of Addis Ababa"" are the current tenants of Addis Ababa City Hall."
Id12,5,en,Building,mixed,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace California Julia_Morgan significantBuilding Los_Angeles_Herald-Examiner Julia_Morgan significantBuilding Riverside_Art_Museum Julia_Morgan significantProject Hearst_Castle,"Julia Morgan was an architect born in California. She designed Asilomar Conference Grounds, The Riverside Art Museum, Hearst Castle and the Los Angeles Herald Examiner building."
Id143,3,en,Building,sibling,"Ampara_Hospital country Sri_Lanka Ampara_Hospital region Ampara_District Ampara_Hospital state Eastern_Province,_Sri_Lanka",Ampara Hospital is located in Ampara District in the Eastern Province of Sri Lanka.
Id23,3,en,Food,sibling,Barny_Cakes carbohydrate 18.0 g Barny_Cakes dishVariation Apple Barny_Cakes protein 1.8 g,Barny cakes can be made with apple and have 18 grams of carbs and 1.8 g of protein.
Id85,1,en,Building,,Adisham_Hall country Sri_Lanka,Adisham Hall is located in the country of Sri Lanka.
Id2,4,en,University,sibling,"1_Decembrie_1918_University city Alba_Iulia 1_Decembrie_1918_University country Romania 1_Decembrie_1918_University nickname Uab 1_Decembrie_1918_University rector ""Breaz Valer Daniel""","The 1 Decembrie 1918 University of Alba Iulia, Romania has the nickname Uab and the rector is called Breaz Valer Daniel."
Id3,4,en,Monument,mixed,"Azerbaijan capital Baku Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan",Baku is the capital of Azerbaijan and the location of the Turkish Martyrs memorial dedicated to the soldiers of the Ottoman army who died in the battle of Baku. The memorial was designed by Huseyin Butuner and Hilmi Guner.
Id91,4,en,Airport,sibling,"Allama_Iqbal_International_Airport cityServed Lahore Allama_Iqbal_International_Airport location Punjab,_Pakistan Allama_Iqbal_International_Airport operatingOrganisation Pakistan_Civil_Aviation_Authority Allama_Iqbal_International_Airport runwayLength 2900.0","Allama Iqbal International Airport in Punjab, Pakistan, is operated by Pakistan Civil Aviation Authority. The airport serves the city of Lahore and has a runway length of 2900."
Id13,4,en,Building,mixed,"108_St_Georges_Terrace cost ""120 million (Australian dollars)"" Perth country Australia 108_St_Georges_Terrace floorCount 50 108_St_Georges_Terrace location Perth","108 St Georges Terrace in Perth, Australia has 50 floors and cost 120 million AUD."
Id131,4,en,Airport,mixed,"Appleton_International_Airport cityServed Appleton,_Wisconsin Greenville,_Wisconsin isPartOf Dale,_Wisconsin Appleton,_Wisconsin isPartOf Grand_Chute,_Wisconsin Appleton_International_Airport location Greenville,_Wisconsin","The Appleton International Airport, which serves Appleton, is located in Greenville, Wisconsin. Appletonmis part of Grand Chute, Wisconsin and Greenville is part of Dale, Wisconsin."
Id68,1,en,SportsTeam,,A.S._Livorno_Calcio manager Christian_Panucci,A.S. Livorno Calcio is managed by Christian Panucci.
Id26,1,en,SportsTeam,,A.C._Lumezzane manager Michele_Marcolini,Michele Marcolini has been manager of AC Lumezzane.
Id147,1,en,Airport,,Antwerp_International_Airport owner Flemish_Region,The owner of Antwerp International Airport is the Flemish Region.
Id149,2,en,Building,sibling,"Asser_Levy_Public_Baths location ""Asser Levy Place and East 23rd Street"" Asser_Levy_Public_Baths yearOfConstruction 1904","Asser Levy Public Baths, built in 1904, are located on Asser Levy Place and East 23rd Street."
