eids,input,prediction,actual,generation
Id3,103_Colmore_Row completionDate 1976, Колмор-роу 103 был завершен в 1976 году. ,"['Колмор-роу 103 был завершен в 1976 году.', 'Строительство на 103 Колмор-роу 103 было завершено в 1976 году.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103_Colmore_Row completionDate 1976 [/TRIPLE] [ANW] Колмор-роу 103 был завершен в 1976 году. [/ANW] </s> [/INST] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/"
Id10,AWH_Engineering_College state Kerala," Инженерный колледж ""AWH"" находится в штате Керала. ","['Инженерный колледж «AWH» находится в штате Керала.', 'Инженерный колледж ""AWH"" находится в штате Керала.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] AWH_Engineering_College state Kerala [/TRIPLE] [ANW] Инженерный колледж ""AWH"" находится в штате Керала. [/ANW] </s> [/INST] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW]"
Id148,Bakso country Chinese_cuisine Bakso ingredient Tapioca," Тапиока является ингредиентом Баксо, который является китайским блюдом. ","['Тапиока является ингредиентом Баксо, блюда из Китая.', 'Баксо - блюдо китайской кухни и содержит тапиоку.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bakso country Chinese_cuisine Bakso ingredient Tapioca [/TRIPLE] [ANW] Тапиока является ингредиентом Баксо, который является китайским блюдом. [/ANW] </s> [/INST] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TR"
Id72,"Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"""," Эллиот Си родился в Далласе, США, и служил летчиком-испытателем. Он умер в Сент-Луисе. ","['Эллиот Си, который родился в Далласе, работал летчиком-испытателем пока не умер в Сент-Луисе.', 'Эллиот Си, летчик-испытатель, умер в Сент-Луисе. Родился в Далласе, штат Техас, США.', 'Эллиот Си, испытатель-испытатель, умер в Сент-Луисе. Родился в Далласе, штат Техас, США.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"" [/TRIPLE] [ANW] Эллиот Си родился в Далласе, США, и служил летчиком-испытателем. Он умер в Сент-Луисе. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERS"
Id14,Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English," Бачой - это блюдо из Филиппин, где официальным языком является филиппинский английский, а также разговаривают на арабском. Китайские филиппинцы и игороты - этнические группы на Филиппинах. ","['Филиппины - родина бачой. Они говорят на арабском и филиппинском английском, этнические группы - игороты и китайские филиппинцы.', 'Филиппины содержат разные этнические группы, в том числе китайские филиппинцы и Игороты. Они говорят на арабском и английском языках и едят бачой.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English [/TRIPLE] [ANW] Бачой - это блюдо из Филиппин, где официальным языком является филиппинский английский, а также разговаривают на арабском. Китайские филиппинцы и игороты - этнические группы на Филиппинах. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/"
Id42,"Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"""," Международный аэропорт Афонсу Пена расположен в городе Сан-Жозе-дус-Пиньяйс и имеет взлетно-посадочную полосу длиной 2215,0 метров, которая называется 11/29. ","['Длина взлетно-посадочной полосы ""11 / 29"" в международном аэропорту Афонсу Пена в Сан-Жозе-дус-Пиньяйс - 2215,0.', 'Международный аэропорт Афонсу Пена со взлетно-посадочной полосой 11/29 длиной 2215 метров расположен в городе Сан-Жозе-дус-Пиньяйс.', 'Аэропорт Афонсу Пена, расположенный в Сан-Жозе-дус-Пиньяйс, имеет длину взлетно-посадочной полосы 2215,0 и взлетно-посадочную полосу под названием 11/29.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"" [/TRIPLE] [ANW] Международный аэропорт Афонсу Пена расположен в городе Сан-Жозе-дус-Пиньяйс и имеет взлетно-посадочную полосу длиной 2215,0 метров, которая называется 11/29. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERS"
Id32,"Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"""," Аэропорт Барахас находится в Мадриде и имеет взлетно-посадочную полосу длиной 3500,0 метров, которая называется 14L/32R. ","['Длина взлетно-посадочной полосы в аэропорту Барахас в Мадриде составляет 3500 м и она называется 14L / 32R.', 'Барахас расположен в Мадриде, а его взлетно-посадочная полоса называется 14L / 32R и 3500 метров в длину.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" [/TRIPLE] [ANW] Аэропорт Барахас находится в Мадриде и имеет взлетно-посадочную полосу длиной 3500,0 метров, которая называется 14L/32R. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL"
Id167,Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department," Бандеха паиса - это блюдо из Антьокии, Колумбия, и оно содержит чичаррон. ","['Чичаррон – ингредиент, используемый в бандеха паиса, из колумбийской кухни, встречается в Антьокии.', 'Бандеха паиса — блюдо из региона Антьокия, один из ингредиентов — чичаррон; Бандеха паиса — часть колумбийской кухни.', 'Чичаррон является одним из ингредиентов в колумбийской кухне бандеха паиса, которая берет свое начало в департаменте Антьокия.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department [/TRIPLE] [ANW] Бандеха паиса - это блюдо из Антьокии, Колумбия, и оно содержит чичаррон. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UN"
Id856,Alderney_Airport cityServed Alderney, Аэропорт Олдерни обслуживает город Олдерни. ,"['Аэропорт ""Олдерни"" обслуживает Олдерни.', 'Аэропорт Олдерни обслуживает город Олдерни.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alderney_Airport cityServed Alderney [/TRIPLE] [ANW] Аэропорт Олдерни обслуживает город Олдерни. [/ANW] </s> [/INST] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/ANW] [/TRIPLE] [/AN"
Id12,Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996," Академия архитектуры Мендризио была создана в 1996 году, а ее деканом является Марио Ботта. ","['Академия архитектуры Мендризио была создана в 1996 году, а декан - Марио Ботта.', 'Марио Ботта - декан Академии архитектуры Мендризио, основанной в 1996 году.', 'Марио Ботта - декан Академии архитектуры Мендризио, которая была основана в 1996 году.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996 [/TRIPLE] [ANW] Академия архитектуры Мендризио была создана в 1996 году, а ее деканом является Марио Ботта. [/ANW] </s> [/TRIPLES] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/UNIVERSAL] [/"
