eids,input,prediction,actual,generation
Id3,103_Colmore_Row completionDate 1976, 103 Colmore Row wurde 1976 fertiggestellt.  ,"['103 Colmore Row wurde 1976 fertiggestellt. ', 'Das Gebäude von 103 Colmore Row wurde 1976 fertiggestellt. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103_Colmore_Row completionDate 1976 [/TRIPLE] [ANW] 103 Colmore Row wurde 1976 fertiggestellt.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/"
Id10,AWH_Engineering_College state Kerala, AWH Engineering College befindet sich im Bundesstaat Kerala.  ,"['Das AWH Engineering College befindet sich im Bundesstaat Kerala. ', 'Das AWH Engineering College befindet sich im Staat Kerala. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] AWH_Engineering_College state Kerala [/TRIPLE] [ANW] AWH Engineering College befindet sich im Bundesstaat Kerala.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW] "
Id149,Bakso country Chinese_cuisine Bakso ingredient Tapioca," Bakso ist ein Gericht aus China, das Tapioca enthält.  ","['Tapioca ist eine Zutat in Bakso, die in China hergestellt wird. ', 'Bakso ist aus der chinesischen Küche und enthält tapioca. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bakso country Chinese_cuisine Bakso ingredient Tapioca [/TRIPLE] [ANW] Bakso ist ein Gericht aus China, das Tapioca enthält.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]"
Id72,"Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"""," Elliot See, ein Testpilot aus den USA, wurde in Dallas geboren und starb in St. Louis.  ","['Elliot See war ein US-Bürger, der in Dallas geboren wurde. Er war Testpilot. Er starb in St. Louis. ', 'Elliot See, der ursprünglich in Dallas geboren wurde, arbeitete als Testpilot, bevor er in St.Louis. starb. ', 'Elliot See, ein Testpilot, ist in St. Louis gestorben. Er wurde in Dallas, Texas, USA geboren. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"" [/TRIPLE] [ANW] Elliot See, ein Testpilot aus den USA, wurde in Dallas geboren und starb in St. Louis.  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW] "
Id223,Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English," Batchoy ist ein Gericht von den Philippinen, wo philippinisches Englisch die offizielle Sprache ist und Arabisch auch gesprochen wird. Zu den ethnischen Gruppen des Landes gehören die Igorot-Leute und die chinesischen Filipinos.  ","['Philippinen ist das Land Batchoy kommt. Sie sprechen Arabisch und philippinisches Englisch, die ethnischen Gruppen sind Igorot-Menschen und chinesische Filipino. ', 'Die Philippinen bestehen aus verschiedenen Städten wie dem chinesischen Filipino und Igorot. Sie sprechen Arabisch und Englisch und essen batchoy. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English [/TRIPLE] [ANW] Batchoy ist ein Gericht von den Philippinen, wo philippinisches Englisch die offizielle Sprache ist und Arabisch auch gesprochen wird. Zu den ethnischen Gruppen des Landes gehören die Igorot-Leute und die chinesischen Filipinos.  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/"
Id42,"Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"""," Afonso Pena International Airport befindet sich in Sao Jose dos Pinhais und hat eine Landebahn mit einer Länge von 2215,0, die 11 / 29 genannt wird.  ","['Die 11 / 29 Piste in Afonso Pena International Flughafen in Sao Jose dos Pinhais hat eine Länge von 2215,0. ', 'Afonso Pena International Airport befindet sich in São José dos Pinhais mit der Landebahn 11 / 29 auf 2215m Länge. ', 'Der Flughafen Afonso Pena, der sich in Sao Jose dos Pinhais befindet, hat eine Fahrbahnlänge von 2215,0 und eine Start- und Landebahn von 11 / 29. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"" [/TRIPLE] [ANW] Afonso Pena International Airport befindet sich in Sao Jose dos Pinhais und hat eine Landebahn mit einer Länge von 2215,0, die 11 / 29 genannt wird.  [/ANW]  [/TRIPLE]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW] "
Id32,"Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"""," Der Flughafen Adolfo Suárez Madrid-Barajas befindet sich in Madrid und hat eine Landebahn mit dem Namen 14L / 32R, die 3500 Meter lang ist.  ","['Die Start- und Landebahn am Adolfo Suarez Madrid-Barajas Flughafen iin Madrid ist 3500m und benannt 14L / 32r. ', 'Der Flughafen Adolfo Suárez Madrid-Barajas befindet sich in Madrid und seine Landebahn heißt 14L / 32r und ist 3500 Meter lang. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" [/TRIPLE] [ANW] Der Flughafen Adolfo Suárez Madrid-Barajas befindet sich in Madrid und hat eine Landebahn mit dem Namen 14L / 32R, die 3500 Meter lang ist.  [/ANW]  [/TRIPLE]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW]  [/ANW"
Id168,Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department," Bandeja paisa ist ein Gericht aus der Region Antioquia in Kolumbien, das Chicharrón als Zutat hat.  ","['Chicharrón ist eine Zutat in Bandeja paisa, Teil der Colombain-Küche, findet sich in der Antioquia-Abteilung. ', 'Bandeja paisa ist ein Gericht aus der Region Antioquia, eine der Zutaten ist chicharron, bandeja paisa ist Teil der kolumbianischen Küche. ', 'Chicharrón ist eine der Zutaten in der kolumbianischen Küche von bandeja paisa, die aus der Antioquia-Abteilung stammt. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department [/TRIPLE] [ANW] Bandeja paisa ist ein Gericht aus der Region Antioquia in Kolumbien, das Chicharrón als Zutat hat.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/"
Id11,Alderney_Airport cityServed Alderney, Alderney Airport bedient Alderney.  ,"['Der Flughafen Alderney dient Alderney. ', 'Der Flughafen Alderney bedient die Stadt Alderney. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alderney_Airport cityServed Alderney [/TRIPLE] [ANW] Alderney Airport bedient Alderney.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW"
Id12,Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996," Mario Botta ist Dekan der Accademia di Architettura di Mendrisio, die 1996 gegründet wurde.  ","['Die Accademia di Architettura di Mendrisio wurde 1996 gegründet und der Dekan ist Mario Botta. ', 'Der Dekan der Accademia di Architettura di Mendrisio, der 1996 gegründet wurde, ist Mario Botta. ', 'Mario Botta ist Dekan der Accademia di Architettura di Mendrisio, die 1996 gegründet wurde. ']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996 [/TRIPLE] [ANW] Mario Botta ist Dekan der Accademia di Architettura di Mendrisio, die 1996 gegründet wurde.  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]  [/ANW]  [/TRIPLE]"
