eids,input,prediction,actual,generation
Id3,103_Colmore_Row completionDate 1976, Il 103 Colmore Row è stato completato nel 1976. ,"['Il 103 Colmore Row è stato completato nel 1976.', ""L'edificio 103 Colmore Row è stato completato nel 1976.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103_Colmore_Row completionDate 1976 [/TRIPLE] [ANW] Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2. Il 103 Colmore Row è stato completato nel 1976. [/ANW] 1. Il 103 Colmore Row è stato completato nel 1976. 2"
Id10,AWH_Engineering_College state Kerala, L'AWH Engineering College si trova nello stato del Kerala. ,"[""L'AWH Engineering College si trova nello stato del Kerala."", ""L'AWH Engineering College si trova nello Stato del Kerala.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] AWH_Engineering_College state Kerala [/TRIPLE] [ANW] L'AWH Engineering College si trova nello stato del Kerala. [/ANW] 2. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 3. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 4. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 5. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 6. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 7. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 8. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 9. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 10. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 11. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 12. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 13. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 14. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 15. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 16. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 17. [TRIPLE] L'AWH Engineering College si trova nello stato del Kerala. [/TRIPLE] 18. [TRI"
Id148,Bakso country Chinese_cuisine Bakso ingredient Tapioca," La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. ","['La tapioca è un ingrediente del bakso, prodotto in Cina.', 'Il bakso proviene dalla cucina cinese e contiene tapioca.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bakso country Chinese_cuisine Bakso ingredient Tapioca [/TRIPLE] [ANW] La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/ANW] 1. La tapioca è un ingrediente del Bakso, un piatto della cucina cinese. 2. Il bakso è un piatto cinese. [/"
Id72,"Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"""," Elliot See, cittadino statunitense, è nato a Dallas e ha prestato servizio come pilota collaudatore. È morto a St. Louis. ","['Elliot See era un cittadino statunitense nato a Dallas. Era un pilota collaudatore. È morto a St. Louis.', 'Elliot See, nato a Dallas, negli Stati Uniti, ha lavorato come pilota collaudatore prima di morire a St.', 'Elliot See, pilota collaudatore, è morto a Saint Louis. Era nato a Dallas, Texas, USA.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"" [/TRIPLE] [ANW] Elliot See, cittadino statunitense, è nato a Dallas e ha prestato servizio come pilota collaudatore. È morto a St. Louis. [/ANW] 2. [TRIPLE] Il nome del pilota collaudatore Elliot See è stato dato a una strada di St. Louis. [TRIPLE] [ANW] Una strada di St. Louis è stata intitolata al pilota collaudatore Elliot See. [/ANW] 3. [TRIPLE] Elliot See è morto a St. Louis. [TRIPLE] [ANW] Elliot See è morto a St. Louis. [/ANW] 4. [TRIPLE] Elliot See è nato a Dallas. [TRIPLE] [ANW] Elliot See è nato a Dallas. [/ANW] 5. [TRIPLE] Elliot See è stato un pilota collaudatore. [TRIPLE] [ANW] Elliot See è stato un pilota collaudatore. [/ANW] 6. [TRIPLE] Elliot See è morto. [TRIPLE] [ANW] Elliot See è morto. [/ANW] 7. [TRIPLE] Elliot See è un cittadino statunitense. [TRIPLE] [ANW] Elliot See è un cittadino statunitense. [/ANW] 8. [TRIPLE] Elliot See è morto a St. Louis. [TRIPLE] [ANW] Elliot See è morto a St. Louis. [/ANW] 9. [TRIPLE] Elliot See è nato a Dallas. [TRIPLE] [ANW] Elliot See è nato a Dallas. [/ANW] 10. [TRIPLE] Elliot See è stato un pilota collaudatore. [TRIPLE] [ANW] Elliot See è stato un pilota collaudatore. [/ANW] 11. [TRIPLE] Elliot See è morto. [TRIPLE"
Id216,Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English," Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. ","['Le Filippine sono il Paese da cui proviene Batchoy. Lì si parla arabo e inglese filippino, i gruppi etnici sono gli Igorot e i cinesi filippini.', 'Nelle Filippine vivono diverse etnie, tra cui i cinesi filippini e gli Igorot. Parlano arabo e inglese filippino e mangiano batchoy.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English [/TRIPLE] [ANW] Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove si parla l'inglese filippino e l'arabo. Il paese è anche sede di gruppi etnici come gli Igorot e i cinesi filippini. [/ANW] 9. Il batchoy è un piatto originario delle Filippine, dove"
Id42,"Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"""," L'aeroporto internazionale Afonso Pena si trova a São José dos Pinhais e ha una pista lunga 2215,0 metri e denominata 11/29. ","[""La pista 11/29 dell'aeroporto internazionale Afonso Pena di São José dos Pinhais ha una lunghezza di 2215.0."", ""L'aeroporto internazionale Afonso Pena si trova a São José dos Pinhais, con la pista 11/29 lunga 2215 metri."", ""L'aeroporto Afonso Pena, situato a São José dos Pinhais, ha una pista di lunghezza pari a 2215,0 e una denominazione della pista pari a 11/29.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"" [/TRIPLE] [ANW] L'aeroporto internazionale Afonso Pena si trova a São José dos Pinhais e ha una pista lunga 2215,0 metri e denominata 11/29. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW] 11/29 è il nome della pista dell'aeroporto internazionale Afonso Pena, situato a São José dos Pinhais e lungo 2215,0 metri. [/ANW]"
Id32,"Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R""", L'aeroporto Adolfo Suárez Madrid-Barajas si trova a Madrid e ha una pista lunga 3500 metri e una denominazione di 14L/32R. ,"[""La lunghezza della pista dell'aeroporto Adolfo Suarez Madrid-Barajas di Madrid è di 3500 m e si chiama 14L/32R."", ""L'aeroporto Adolfo Suárez Madrid-Barajas si trova a Madrid e la sua pista si chiama 14L/32R ed è lunga 3500 metri.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" [/TRIPLE] [ANW] L'aeroporto Adolfo Suárez Madrid-Barajas si trova a Madrid e ha una pista lunga 3500 metri e una denominazione di 14L/32R. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Barajas, situato a Madrid e dotato di una pista lunga 3500 metri. [/ANW] 14L/32R è il nome della pista dell'aeroporto Adolfo Suárez Madrid-Bar"
Id167,Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department, La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. L'ingrediente principale è il chicharrón. ,"['Il chicharrón è un ingrediente della Bandeja paisa, parte della cucina colombiana, che si trova nel dipartimento di Antioquia.', 'La bandeja paisa è un piatto della regione del dipartimento di Antioquia, uno degli ingredienti è il chicharron. La bandeja paisa fa parte della cucina colombiana.', 'Il chicharrón è uno degli ingredienti della cucina colombiana della Bandeja paisa, originaria del dipartimento di Antioquia.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department [/TRIPLE] [ANW] La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa è un piatto della cucina colombiana della regione del dipartimento di Antioquia. 2. L'ingrediente principale è il chicharrón. [/ANW] 1. La bandeja paisa"
Id11,Alderney_Airport cityServed Alderney, L'aeroporto di Alderney serve Alderney. ,"[""L'aeroporto di Alderney serve Alderney."", ""L'aeroporto di Alderney serve la città di Alderney.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alderney_Airport cityServed Alderney [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 2. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 3. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 4. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 5. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 6. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 7. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 8. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 9. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'aeroporto di Alderney serve Alderney. [/ANW] 10. [TRIPLE] L'aeroporto di Alderney serve Alderney. [/TRIPLE] [ANW] L'a"
Id12,Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996, L'Accademia di Architettura di Mendrisio è stata fondata nel 1996 e il suo rettore è Mario Botta. ,"[""L'Accademia di Architettura di Mendrisio è stata fondata nel 1996 e il preside è Mario Botta."", ""Il decano dell'Accademia di Architettura di Mendrisio, creata nel 1996, è Mario Botta."", ""Mario Botta è decano dell'Accademia di Architettura di Mendrisio, istituita nel 1996.""]","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996 [/TRIPLE] [ANW] L'Accademia di Architettura di Mendrisio è stata fondata nel 1996 e il suo rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è stata fondata l'Accademia di Architettura di Mendrisio, il cui rettore è Mario Botta. [/ANW] 1996 è l'anno in cui è"
