eid,size,dataset_type,category,shape_type,data_unit,sentence
Id17,3,it,SportsTeam,mixed,Jens_Härtel club SV_Babelsberg_03 Jens_Härtel club FC_Sachsen_Leipzig 1._FC_Magdeburg manager Jens_Härtel,"L'allenatore dell'FC Magdeburg è Jens Härtel, che gioca per l'SV Babelsberg 03 e ha rappresentato la squadra FC Sachsen Leipzig."
Id147,2,it,Food,sibling,Bakso country Indonesia Bakso ingredient Noodle,Il bakso contiene noodles e proviene dall'Indonesia.
Id24,4,it,SportsTeam,mixed,Italy capital Rome Italy demonym Italians A.C._Lumezzane ground Italy Italy language Italian_language,"Roma è la capitale d'Italia, abitata da italiani e dove gioca l'A.C. Lumezzane. L'italiano è la lingua parlata nel Paese."
Id188,3,it,Food,sibling,"Batagor country Indonesia Batagor ingredient Peanut_sauce Batagor servingTemperature ""hot""","Un piatto tradizionale dell'Indonesia si chiama Batagor, che ha come ingrediente la salsa di arachidi e va servito caldo."
Id76,1,it,Building,,"Addis_Ababa_City_Hall currentTenants ""Government of Addis Ababa""","Il ""Governo di Addis Abeba"" è l'attuale inquilino del Municipio di Addis Abeba."
Id12,5,it,Building,mixed,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace California Julia_Morgan significantBuilding Los_Angeles_Herald-Examiner Julia_Morgan significantBuilding Riverside_Art_Museum Julia_Morgan significantProject Hearst_Castle,"Julia Morgan era un architetto nato in California. Ha progettato l'Asilomar Conference Grounds, il Riverside Art Museum, l'Hearst Castle e l'edificio del Los Angeles Herald Examiner."
Id143,3,it,Building,sibling,"Ampara_Hospital country Sri_Lanka Ampara_Hospital region Ampara_District Ampara_Hospital state Eastern_Province,_Sri_Lanka","L'ospedale di Ampara si trova nel distretto di Ampara, nella provincia orientale dello Sri Lanka."
Id23,3,it,Food,sibling,Barny_Cakes carbohydrate 18.0 g Barny_Cakes dishVariation Apple Barny_Cakes protein 1.8 g,"Le barrette possono essere preparate con le mele e hanno 18 grammi di carboidrati e 1,8 g di proteine."
Id85,1,it,Building,,Adisham_Hall country Sri_Lanka,Adisham Hall si trova nel Paese dello Sri Lanka.
Id2,4,it,University,sibling,"1_Decembrie_1918_University city Alba_Iulia 1_Decembrie_1918_University country Romania 1_Decembrie_1918_University nickname Uab 1_Decembrie_1918_University rector ""Breaz Valer Daniel""","L'Università di Alba Iulia, Romania, ha il soprannome di Uab e il rettore si chiama Breaz Valer Daniel."
Id3,4,it,Monument,mixed,"Azerbaijan capital Baku Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan","Baku è la capitale dell'Azerbaigian e la sede del Memoriale dei Martiri Turchi, dedicato ai soldati dell'esercito ottomano morti nella battaglia di Baku. Il monumento è stato progettato da Huseyin Butuner e Hilmi Guner."
Id91,4,it,Airport,sibling,"Allama_Iqbal_International_Airport cityServed Lahore Allama_Iqbal_International_Airport location Punjab,_Pakistan Allama_Iqbal_International_Airport operatingOrganisation Pakistan_Civil_Aviation_Authority Allama_Iqbal_International_Airport runwayLength 2900.0","L'aeroporto internazionale Allama Iqbal di Punjab, Pakistan, è gestito dall'Autorità per l'aviazione civile del Pakistan. L'aeroporto serve la città di Lahore e ha una pista lunga 2900 metri."
Id13,4,it,Building,mixed,"108_St_Georges_Terrace cost ""120 million (Australian dollars)"" Perth country Australia 108_St_Georges_Terrace floorCount 50 108_St_Georges_Terrace location Perth","Il 108 St Georges Terrace a Perth, in Australia, ha 50 piani ed è costato 120 milioni di dollari australiani."
Id131,4,it,Airport,mixed,"Appleton_International_Airport cityServed Appleton,_Wisconsin Greenville,_Wisconsin isPartOf Dale,_Wisconsin Appleton,_Wisconsin isPartOf Grand_Chute,_Wisconsin Appleton_International_Airport location Greenville,_Wisconsin","L'aeroporto internazionale di Appleton, che serve Appleton, si trova a Greenville, Wisconsin. Appleton fa parte di Grand Chute, Wisconsin, mentre Greenville fa parte di Dale, Wisconsin."
Id68,1,it,SportsTeam,,A.S._Livorno_Calcio manager Christian_Panucci,L'A.S. Livorno Calcio è diretto da Christian Panucci.
Id26,1,it,SportsTeam,,A.C._Lumezzane manager Michele_Marcolini,Michele Marcolini è stato allenatore dell'AC Lumezzane.
Id147,1,it,Airport,,Antwerp_International_Airport owner Flemish_Region,Il proprietario dell'aeroporto internazionale di Anversa è la Regione fiamminga.
Id149,2,it,Building,sibling,"Asser_Levy_Public_Baths location ""Asser Levy Place and East 23rd Street"" Asser_Levy_Public_Baths yearOfConstruction 1904","Gli Asser Levy Public Baths, costruiti nel 1904, si trovano tra Asser Levy Place e East 23rd Street."
Id33,3,it,SportsTeam,sibling,"A.C._Lumezzane league ""Lega Pro/A"" A.C._Lumezzane numberOfMembers 4150 A.C._Lumezzane season 2014–15_Lega_Pro","L'A.C. Lumezzane, con 4150 soci, milita nel campionato di Lega Pro/A e ha giocato nella stagione 2014-15."
Id4,5,it,Monument,sibling,"Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan Baku_Turkish_Martyrs'_Memorial material ""Red granite and white marble"" Baku_Turkish_Martyrs'_Memorial nativeName ""Türk Şehitleri Anıtı""","Huseyin Butuner e Hilmi Guner hanno progettato il monumento ai Martiri Turchi di Baku, in Azerbaigian, in granito rosso e marmo bianco. È noto anche come Turk Sehitleri Aniti ed è dedicato ai soldati dell'esercito ottomano uccisi nella battaglia di Baku."
Id210,1,it,Airport,,Denmark language Danish_language,La lingua della Danimarca è il danese.
Id18,1,it,SportsTeam,,A.C._Chievo_Verona league Serie_A,L'A.C Chievo Verona gioca nel campionato di Serie A.
Id61,6,it,University,mixed,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Visvesvaraya_Technological_University city Belgaum Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology state Karnataka","Il campus dell'Acharya Institute of Technology si trova a Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, Karnataka, 560090, India. Il suo direttore è il dottor G.P. Prabhukumar. È affiliata alla Visvesvaraya Technological University di Belgaum."
Id10,2,it,Astronaut,sibling,Alan_Shepard birthPlace New_Hampshire Alan_Shepard nationality United_States,Alan Shepard è nato nello stato americano del New Hampshire.
Id154,3,it,Building,mixed,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace San_Francisco Julia_Morgan significantBuilding Asilomar_State_Beach,Julia Morgan (nata a San Francisco) ha progettato l'Asilomar Conference Grounds e l'Asilomar State Beach.
