eid,size,dataset_type,category,shape_type,data_unit,sentence
Id17,3,ge,SportsTeam,,Jens_Härtel club SV_Babelsberg_03 Jens_Härtel club FC_Sachsen_Leipzig 1._FC_Magdeburg manager Jens_Härtel,"Der Manager des FC Magdeburg ist Jens Härtel, der für den SV Babelsberg 03 spielt und den Verein FC Sachsen Leipzig vertreten hat. "
Id148,2,ge,Food,,Bakso country Indonesia Bakso ingredient Noodle,Bakso enthält Nudeln und kommt aus Indonesien. 
Id24,4,ge,SportsTeam,,Italy capital Rome Italy demonym Italians A.C._Lumezzane ground Italy Italy language Italian_language,"Rom ist die Hauptstadt von Italien, das von Italienern bewohnt wird und wo A.C. Lumezzane spielt. "
Id189,3,ge,Food,,"Batagor country Indonesia Batagor ingredient Peanut_sauce Batagor servingTemperature ""hot""","Ein traditionelles Gericht Indonesiens heißt Batagor, das Erdnusssoße als Zutat hat und heiß serviert werden sollte. "
Id76,1,ge,Building,,"Addis_Ababa_City_Hall currentTenants ""Government of Addis Ababa""","Die ""Regierung von Addis Abeba"" sind die aktuellen Mieter des Rathauses von Addis Abeba. "
Id12,5,ge,Building,,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace California Julia_Morgan significantBuilding Los_Angeles_Herald-Examiner Julia_Morgan significantBuilding Riverside_Art_Museum Julia_Morgan significantProject Hearst_Castle,"Julia Morgan war eine in Kalifornien geborene Architektin. Sie entwarf Asilomar Conference Grounds, The Riverside Art Museum, Hearst Castle und das Los Angeles Herald Examiner Gebäude. "
Id143,3,ge,Building,,"Ampara_Hospital country Sri_Lanka Ampara_Hospital region Ampara_District Ampara_Hospital state Eastern_Province,_Sri_Lanka",Ampara Hospital befindet sich in ampara District in der Osterprovinz von Sri Lanka. 
Id23,3,ge,Food,,Barny_Cakes carbohydrate 18.0 g Barny_Cakes dishVariation Apple Barny_Cakes protein 1.8 g,"Barny Kuchen kann man mit Apfel machen und hat 18 Gramm Karben und 1,8 g Eiweiß. "
Id85,1,ge,Building,,Adisham_Hall country Sri_Lanka,Adisham Hall befindet sich im Land von Sri Lanka. 
Id2,4,ge,University,,"1_Decembrie_1918_University city Alba_Iulia 1_Decembrie_1918_University country Romania 1_Decembrie_1918_University nickname Uab 1_Decembrie_1918_University rector ""Breaz Valer Daniel""","Die 1 Decembrie 1918 Universität von Alba Iulia, Rumänien hat den Spitznamen UAB und der Rektor heißt Breaz Valer Daniel. "
Id3,4,ge,Monument,,"Azerbaijan capital Baku Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan","Baku ist die Hauptstadt von Aserbaidschan und die Lage der türkischen Martyrs-Gedenkstätte, die den Soldaten der osmanischen Armee gewidmet ist, die in der Schlacht von Baku gestorben sind. Die Gedenkstätte wurde von Huseyin Butuner und Hilmi Guner entworfen. "
Id92,4,ge,Airport,,"Allama_Iqbal_International_Airport cityServed Lahore Allama_Iqbal_International_Airport location Punjab,_Pakistan Allama_Iqbal_International_Airport operatingOrganisation Pakistan_Civil_Aviation_Authority Allama_Iqbal_International_Airport runwayLength 2900.0","Allama Iqbal International Airport in Punjab, Pakistan, wird von der pakistanischen Zivilluftfahrtbehörde betrieben. Der Flughafen dient der Stadt Lahore und hat eine Fahrbahnlänge von 2900. "
Id13,4,ge,Building,,"108_St_Georges_Terrace cost ""120 million (Australian dollars)"" Perth country Australia 108_St_Georges_Terrace floorCount 50 108_St_Georges_Terrace location Perth","108 St Georges Terrace in Perth, Australien hat 50 Etagen und kostet 120 Millionen AUD. "
