eids,input,prediction,actual,generation
Id3,103_Colmore_Row completionDate 1976, 103 Colmore Row was completed in 1976. ,"['103 Colmore Row was completed in 1976.', 'The building of 103 Colmore Row was completed in 1976.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103_Colmore_Row completionDate 1976 [/TRIPLE] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103 Colmore Row was completed in 1976. [/TRIPLE] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103 Colmore Row was completed in 1976. [/TRIPLE] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976. [/INST] [ANW] 103 Colmore Row was completed in 1976. [/ANW] </s> <s> [INST] 103 Colmore Row was completed in 1976."
Id10,AWH_Engineering_College state Kerala, AWH Engineering College is located in the state of Kerala. ,"['AWH Engineering College is located in Kerala state.', 'The AWH Engineering College is in the State of Kerala.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] AWH_Engineering_College state Kerala [/TRIPLE] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] The AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] The AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] </s> <s> [INST] AWH Engineering College is located in the state of Kerala. [/INST] [ANW] AWH Engineering College is located"
Id148,Bakso country Chinese_cuisine Bakso ingredient Tapioca, Bakso is a Chinese dish that contains tapioca. ,"['Tapioca is an ingredient in bakso which is made in China.', 'Bakso is from the chinese cuisine and contains tapioca.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bakso country Chinese_cuisine Bakso ingredient Tapioca [/TRIPLE] [ANW] Bakso is a Chinese dish that contains tapioca. [/ANW] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese dish that contains tapioca. [/s] </s> </s> Bakso is a Chinese"
Id72,"Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased""", Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. ,"['Elliot See was a US citizen, who was born in Dallas. He was a test pilot. He died in St. Louis.', 'Elliot See who was originally born in Dallas, USA, worked as a test pilot before he died in St. Louis.', 'Elliot See, a test pilot, has died in St Louis. He was born in Dallas, Texas, USA.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"" [/TRIPLE] [ANW] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/ANW] </s> </s> Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] </s> Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was born in Dallas and died in St. Louis. [/s] Elliot See was a test pilot from the United States who was"
Id216,Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English, Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. ,"['Philippines is the country Batchoy comes from. There they speak Arabic and Philippine English, the ethnic groups are Igorot people and Chinese Filipino.', 'The Philippines contains different ethnicities including Chinese Filipino and Igorot. They speak Arabic and Philippine English and eat batchoy.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English [/TRIPLE] [ANW] Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/ANW] </s> <s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the country. Arabic is also spoken in the Philippines. [/s] </s> Batchoy is eaten in the Philippines where the official language is Philippine English. The Chinese Filipino and the Igorot people are ethnic groups in the"
Id42,"Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29""", Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. ,"['The 11/29 runway in Afonso Pena International airport in Sao Jose dos Pinhais has a length of 2215.0.', 'Afonso Pena International Airport is located in São José dos Pinhais with runway 11/29 at 2215m long.', 'Afonso Pena Airport, located in Sao Jose dos Pinhais, has a runway length of 2215.0 and a runway name of 11/29.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"" [/TRIPLE] [ANW] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/ANW] </s> Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0. The runway name is 11/29. [/s] Afonso Pena International Airport is located in Sao Jose dos Pin"
Id32,"Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R""", Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. ,"['The runway length at Adolfo Suarez Madrid-Barajas airport in Madrid is 3500m and named 14L/32R.', 'Adolfo Suárez Madrid–Barajas Airport is located in Madrid and its runway called 14L/32R and is 3500 metres long.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" [/TRIPLE] [ANW] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/ANW] </s> Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway length of 3500.0. The runway name is 14L/32R. [/s] Adolfo Suárez Madrid–Barajas Airport is located in Madrid and has a runway"
Id167,Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department, Bandeja paisa is a typical Colombian dish from the Antioquia Department region. It contains Chicharrón. ,"['Chicharrón is an ingredient found in Bandeja paisa, part of Colombian cuisine, is found in the Antioquia Department.', 'Bandeja paisa is a dish from the Antioquia Department region, one of the ingredients is Chicharron, Bandeja paisa is part of Colombian cuisine.', 'Chicharrón is one of the ingredients in the Colombian cuisine of Bandeja paisa that originates from the Antioquia department.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department [/TRIPLE] [ANW] Bandeja paisa is a typical Colombian dish from the Antioquia Department region. It contains Chicharrón. [/ANW] </s> </s> Chicharron is an ingredient in Bandeja paisa which is a typical Colombian dish from the Antioquia Department region. [/s] </s> Chicharron is an ingredient in Bandeja paisa which is a typical Colombian dish from the Antioquia Department region. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antioquia Department region and it contains Chicharron. [/s] </s> Bandeja paisa is a typical Colombian dish from the Antio"
Id11,Alderney_Airport cityServed Alderney, Alderney Airport serves the city of Alderney. ,"['The Alderney Airport serves Alderney.', 'Alderney Airport serves the city of Alderney.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alderney_Airport cityServed Alderney [/TRIPLE] [ANW] Alderney Airport serves the city of Alderney. [/ANW] </s> Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney. [/tags] [/s] Alderney Airport serves the city of Alderney. [/s] Tags: Alderney Airport, Alderney."
Id12,Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996, The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. ,"['Accademia di Architettura di Mendrisio was established in 1996 and the dean is Mario Botta.', 'The Dean of Accademia di Architettura di Mendrisio, which was created in 1996, is Mario Botta.', 'Mario Botta is Dean of the Accademia di Architettura di Mendrisio which was established in 1996.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996 [/TRIPLE] [ANW] The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/ANW] </s> <s> [INST] The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/INST] [/s] </s> </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/s] </s> The Accademia di Architettura di"
