triples,predictions,actuals
"11th_Mississippi_Infantry_Monument category Contributing_property 11th_Mississippi_Infantry_Monument established 2000 Adams_County,_Pennsylvania hasToItsWest Franklin_County,_Pennsylvania 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania ","The 11th Mississippi Infantry Monument, established in 2000, is categorised as a contributing property. It is located in Adams County, Pennsylvania, which has Franklin County to its west.","A monument to the 11th Mississippi Infantry, which is in the category of a contributing property, was erected in 2000 in Adams County, Pennsylvania. Pennsylvania's Franklin County is found to the west of Adams County."
Bananaman broadcastedBy BBC BBC city Broadcasting_House Bananaman starring Bill_Oddie ,Bill Oddie starred in Bananaman which was broadcast by the BBC. The BBC is located in Broadcasting House.,Bill Oddie stars in a BBC programme called Bananaman. the BBC are based at Broadcasting House in London.
Karlsruhe postalCode 76131–76229 ,The postal code for Karlsruhe is 76131-76229.,The postal codes of Karlsruhe are 76131–76229.
Turkish_people religion Irreligion ,The Turkish people are irreligious.,Some Turkish people are irreligious.
"ENAIRE city Madrid Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" ",Adolfo Suárez Madrid–Barajas Airport is located in Alcobendas and is operated by ENAIRE which is located in Madrid. The runway name is 14L/32R and it is 3500.0 in length.,"The Adolfo Suarez Madrid-Barajas airport is operated by ENAIRE and is located in Alcobendas. Its runway name is 14L/32R, and its length is 3,500. ENAIRE is in the city of Madrid."
Mermaid_(Train_song) musicalBand Train_(band) Mermaid_(Train_song) recordLabel Columbia_Records ,"The band Train is the band that made the song Mermaid, which is on the record label Columbia Records.",Mermaid is a song belonging to the musical band Train and released on the Columbia Records record label.
Bionico country Mexico Bionico course Dessert Mexico currency Mexican_peso Mexico demonym Mexicans Bionico ingredient Raisin Mexico leader Silvano_Aureoles_Conejo Bionico region Guadalajara ,"Bionico is a dessert found in Guadalajara, Mexico. It contains raisins. Mexicans are the people of Mexico and the currency is the Mexican peso. The leader of Mexico is Silvano Aureoles Conejo.","Bionico is a dessert containing raisins that can be found in Guadalajara, Mexico, which is inhabited by Mexicans and uses pesos as their currency and is led by Silvano Aureoles Conejo."
Super_Capers editing Stacy_Katzman Super_Capers language English_language Super_Capers runtime 98.0 Super_Capers starring Michael_Rooker Super_Capers starring Tom_Sizemore ,Super Capers is a 98 minute long English language film starring Michael Rooker and Tom Sizemore. It was edited by Stacy Katzman.,Super Capers is an English-language film starring Tom Sizemore and featuring Michael Rooker. The 98-minute film was edited by Stacy Katzman.
Bionico country Mexico Bionico region Guadalajara ,"Bionico is a food found in Guadalajara, Mexico.","Bionico is a dessert that is found in Guadalajara, Mexico."
University_of_Burgundy campus Dijon University_of_Burgundy numberOfDoctoralStudents 1299 University_of_Burgundy numberOfStudents 27400 University_of_Burgundy numberOfUndergraduateStudents 16800 University_of_Burgundy staff 2900 ,"The University of Burgundy has a campus in Dijon and has 2900 staff, 16800 undergraduate students, 1299 doctoral students and 27400 students.","There are 27400 students at the University of Burgundy, 16800 are undergraduate students,1299 doctoral students and 2900 staff members.The university campus is located in Dijon."
Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) releaseDate 2006-09-06 Nord_(Year_of_No_Light_album) runtime 58.41 ,The album Nord was released on 6 September 2006 by Crucial Blast. It has a runtime of 58.41 and is in the genre of Post-metal.,Year of No Light's 58.41 minute long post metal album Nord was released by the record label Crucial blast on 06-09-2006.
Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology state Karnataka ,"The Acharya Institute of Technology is located in Bangalore, Karnataka.","You’ll find Acharya Institute of Technology in Bangalore, Karnataka, India."
Turkish_people language Turkish_language Nurhan_Atasoy nationality Turkish_people ,Nurhan Atasoy is a Turkish person who speaks Turkish.,Nurhan Atasoy is Turkish and speaks the Turkish language.
Turkey governmentType Unitary_state ,Turkey has a unitary government.,Turkey has a unitary form of government.
Hypermarcas industry Pharmaceuticals Brazil leader Michel_Temer Brazil leader Cármen_Lúcia Hypermarcas location São_Paulo Hypermarcas location Brazil ,"Hypermarcas is a pharmaceutical company located in São Paulo, Brazil. The leaders of Brazil are Michel Temer and Cármen Lúcia.","Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. (Brazil is led by both Michel Temer and Carmen Lucia.)."
Nord_(Year_of_No_Light_album) genre Sludge_metal Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) producer Year_of_No_Light Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) releaseDate 2006-09-06 ,The Year of No Light produced the album Nord which was released on 6 September 2006 by Crucial Blast. The album is of the genre Post-metal and Sludge metal.,"The band Nord is a sludge metal band that releases post-metal. They have an album called the Year of No light that was released on June 9th 2006, and was under Crucial Blast Label."
Lady_Anne_Monson birthDate 1726-01-01 Lady_Anne_Monson nationality Kingdom_of_England Lady_Anne_Monson professionalField Botany Lady_Anne_Monson residence India Lady_Anne_Monson spouse George_Monson ,Lady Anne Monson was born on 1726-01-01 in the Kingdom of England. She resided in India and was a professional in the field of botany. She was married to George Monson.,"Lady Anne Monson, an English national and botanist, was born in 1726 on January, 1. She was married to George Monson and lived in India."
