eids,input,prediction,actual,generation
Id3,103_Colmore_Row completionDate 1976, 103 Colmore Row was completed in 1976. ,"['103 Colmore Row was completed in 1976.', 'The building of 103 Colmore Row was completed in 1976.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] 103_Colmore_Row completionDate 1976 [/TRIPLE] [ANW] 103 Colmore Row was completed in 1976. [/ANW] 2019-09-11 10:36:00"
Id10,AWH_Engineering_College state Kerala, AWH Engineering College is located in the state of Kerala. ,"['AWH Engineering College is located in Kerala state.', 'The AWH Engineering College is in the State of Kerala.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] AWH_Engineering_College state Kerala [/TRIPLE] [ANW] AWH Engineering College is located in the state of Kerala. [/ANW] 20190514"
Id148,Bakso country Chinese_cuisine Bakso ingredient Tapioca, Bakso is a Chinese dish that contains tapioca. ,"['Tapioca is an ingredient in bakso which is made in China.', 'Bakso is from the chinese cuisine and contains tapioca.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bakso country Chinese_cuisine Bakso ingredient Tapioca [/TRIPLE] [ANW] Bakso is a Chinese dish that contains tapioca. [/ANW] 20190709-1"
Id72,"Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"""," Elliot See, a US national, was born in Dallas and died in St. Louis. He served as a test pilot. ","['Elliot See was a US citizen, who was born in Dallas. He was a test pilot. He died in St. Louis.', 'Elliot See who was originally born in Dallas, USA, worked as a test pilot before he died in St. Louis.', 'Elliot See, a test pilot, has died in St Louis. He was born in Dallas, Texas, USA.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Elliot_See birthPlace Dallas Elliot_See deathPlace St._Louis Elliot_See nationality United_States Elliot_See occupation Test_pilot Elliot_See status ""Deceased"" [/TRIPLE] [ANW] Elliot See, a US national, was born in Dallas and died in St. Louis. He served as a test pilot. [/ANW] 20190821-010700"
Id216,Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English, Batchoy is eaten in the Philippines where Philippine English is the official language and Arabic is also spoken. Ethnic groups in the Philippines include the Igorot and Chinese Filipino. ,"['Philippines is the country Batchoy comes from. There they speak Arabic and Philippine English, the ethnic groups are Igorot people and Chinese Filipino.', 'The Philippines contains different ethnicities including Chinese Filipino and Igorot. They speak Arabic and Philippine English and eat batchoy.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Batchoy country Philippines Philippines ethnicGroup Igorot_people Philippines ethnicGroup Chinese_Filipino Philippines language Arabic Philippines officialLanguage Philippine_English [/TRIPLE] [ANW] Batchoy is eaten in the Philippines where Philippine English is the official language and Arabic is also spoken. Ethnic groups in the Philippines include the Igorot and Chinese Filipino. [/ANW] 2019-09-10 11:36:00"
Id42,"Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29""", Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0 and a runway name of 11/29. ,"['The 11/29 runway in Afonso Pena International airport in Sao Jose dos Pinhais has a length of 2215.0.', 'Afonso Pena International Airport is located in São José dos Pinhais with runway 11/29 at 2215m long.', 'Afonso Pena Airport, located in Sao Jose dos Pinhais, has a runway length of 2215.0 and a runway name of 11/29.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Afonso_Pena_International_Airport location São_José_dos_Pinhais Afonso_Pena_International_Airport runwayLength 2215.0 Afonso_Pena_International_Airport runwayName ""11/29"" [/TRIPLE] [ANW] Afonso Pena International Airport is located in Sao Jose dos Pinhais and has a runway length of 2215.0 and a runway name of 11/29. [/ANW] 2021-09-14 11:26:00"
Id32,"Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R""", Adolfo Suarez Madrid-Barajas airport is located in Madrid and has a runway length of 3500.0 and a runway name of 14L/32R. ,"['The runway length at Adolfo Suarez Madrid-Barajas airport in Madrid is 3500m and named 14L/32R.', 'Adolfo Suárez Madrid–Barajas Airport is located in Madrid and its runway called 14L/32R and is 3500 metres long.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport location Madrid Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" [/TRIPLE] [ANW] Adolfo Suarez Madrid-Barajas airport is located in Madrid and has a runway length of 3500.0 and a runway name of 14L/32R. [/ANW] 2020-09-22 11:36:00"
Id167,Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department, Bandeja paisa is a typical Colombian cuisine from the Antioquia Department region and contains the ingredient Chicharrón. ,"['Chicharrón is an ingredient found in Bandeja paisa, part of Colombian cuisine, is found in the Antioquia Department.', 'Bandeja paisa is a dish from the Antioquia Department region, one of the ingredients is Chicharron, Bandeja paisa is part of Colombian cuisine.', 'Chicharrón is one of the ingredients in the Colombian cuisine of Bandeja paisa that originates from the Antioquia department.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Bandeja_paisa country Colombian_cuisine Bandeja_paisa ingredient Chicharrón Bandeja_paisa region Antioquia_Department [/TRIPLE] [ANW] Bandeja paisa is a typical Colombian cuisine from the Antioquia Department region and contains the ingredient Chicharrón. [/ANW] 2019-09-10 11:36:00"
Id11,Alderney_Airport cityServed Alderney, Alderney Airport serves the city of Alderney. ,"['The Alderney Airport serves Alderney.', 'Alderney Airport serves the city of Alderney.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Alderney_Airport cityServed Alderney [/TRIPLE] [ANW] Alderney Airport serves the city of Alderney. [/ANW] 2019-09-10 11:00:00"
Id12,Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996, The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. ,"['Accademia di Architettura di Mendrisio was established in 1996 and the dean is Mario Botta.', 'The Dean of Accademia di Architettura di Mendrisio, which was created in 1996, is Mario Botta.', 'Mario Botta is Dean of the Accademia di Architettura di Mendrisio which was established in 1996.']","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Accademia_di_Architettura_di_Mendrisio dean Mario_Botta Accademia_di_Architettura_di_Mendrisio established 1996 [/TRIPLE] [ANW] The Accademia di Architettura di Mendrisio was established in 1996 and its dean is Mario Botta. [/ANW] 2019-09-10 11:36:00"
