triples,predictions,actuals
"11th_Mississippi_Infantry_Monument category Contributing_property 11th_Mississippi_Infantry_Monument established 2000 Adams_County,_Pennsylvania hasToItsWest Franklin_County,_Pennsylvania 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania ","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania and was established in 2000. It is categorised as a contributing property. Adams County has Franklin County to its west.","A monument to the 11th Mississippi Infantry, which is in the category of a contributing property, was erected in 2000 in Adams County, Pennsylvania. Pennsylvania's Franklin County is found to the west of Adams County."
Bananaman broadcastedBy BBC BBC city Broadcasting_House Bananaman starring Bill_Oddie ,"Bananaman, starring Bill Oddie, was broadcast by the BBC, which is based at Broadcasting House.",Bill Oddie stars in a BBC programme called Bananaman. the BBC are based at Broadcasting House in London.
Karlsruhe postalCode 76131–76229 ,The postal code of Karlsruhe is 76131–76229.,The postal codes of Karlsruhe are 76131–76229.
Turkish_people religion Irreligion ,The religion of the Turkish people is Irreligion.,Some Turkish people are irreligious.
"ENAIRE city Madrid Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" ",ENAIRE is located in Madrid and operates Adolfo Suárez Madrid–Barajas Airport in Alcobendas. The runway name is 14L/32R and it is 3500 metres long.,"The Adolfo Suarez Madrid-Barajas airport is operated by ENAIRE and is located in Alcobendas. Its runway name is 14L/32R, and its length is 3,500. ENAIRE is in the city of Madrid."
Mermaid_(Train_song) musicalBand Train_(band) Mermaid_(Train_song) recordLabel Columbia_Records ,"Mermaid is a song by the band Train, which is signed to Columbia Records.",Mermaid is a song belonging to the musical band Train and released on the Columbia Records record label.
Bionico country Mexico Bionico course Dessert Mexico currency Mexican_peso Mexico demonym Mexicans Bionico ingredient Raisin Mexico leader Silvano_Aureoles_Conejo Bionico region Guadalajara ,"Bionico is a dessert found in Guadalajara, Mexico. The leader of Mexico is Silvano Aureoles Conejo and the currency is the Mexican peso. The main ingredient is raisins.","Bionico is a dessert containing raisins that can be found in Guadalajara, Mexico, which is inhabited by Mexicans and uses pesos as their currency and is led by Silvano Aureoles Conejo."
Super_Capers editing Stacy_Katzman Super_Capers language English_language Super_Capers runtime 98.0 Super_Capers starring Michael_Rooker Super_Capers starring Tom_Sizemore ,"The English language show Super Capers, which was edited by Stacy Katzman, stars Tom Sizemore and Michael Roker. It has a runtime of 98 minutes.",Super Capers is an English-language film starring Tom Sizemore and featuring Michael Rooker. The 98-minute film was edited by Stacy Katzman.
Bionico country Mexico Bionico region Guadalajara ,"Bionico is a food found in Guadalajara, Mexico.","Bionico is a dessert that is found in Guadalajara, Mexico."
University_of_Burgundy campus Dijon University_of_Burgundy numberOfDoctoralStudents 1299 University_of_Burgundy numberOfStudents 27400 University_of_Burgundy numberOfUndergraduateStudents 16800 University_of_Burgundy staff 2900 ,"The University of Burgundy, located in Dijon, has a staff complement of 2900 and a student population of 27400. It has 1299 doctoral students and 16800 undergraduate students.","There are 27400 students at the University of Burgundy, 16800 are undergraduate students,1299 doctoral students and 2900 staff members.The university campus is located in Dijon."
Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) releaseDate 2006-09-06 Nord_(Year_of_No_Light_album) runtime 58.41 ,"The album Nord, which was released on 6 September 2006, is post-metal and was released by Crucial blast. It has a runtime of 58.41 minutes.",Year of No Light's 58.41 minute long post metal album Nord was released by the record label Crucial blast on 06-09-2006.
Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology state Karnataka ,"The Acharya Institute of Technology is located in Bangalore, Karnataka.","You’ll find Acharya Institute of Technology in Bangalore, Karnataka, India."
Turkish_people language Turkish_language Nurhan_Atasoy nationality Turkish_people ,Nurhan Atasoy is a Turkish national and Turkish is the language spoken in Turkey.,Nurhan Atasoy is Turkish and speaks the Turkish language.
Turkey governmentType Unitary_state ,Turkey is a unitary state.,Turkey has a unitary form of government.
Hypermarcas industry Pharmaceuticals Brazil leader Michel_Temer Brazil leader Cármen_Lúcia Hypermarcas location São_Paulo Hypermarcas location Brazil ,"Hypermarcas is a pharmaceutical company located in So Paulo, Brazil. Michel Temer and Cármen Lcia are leaders in Brazil.","Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. (Brazil is led by both Michel Temer and Carmen Lucia.)."
Nord_(Year_of_No_Light_album) genre Sludge_metal Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) producer Year_of_No_Light Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) releaseDate 2006-09-06 ,"The album ""Year of No Light"" was produced by Year of No Light and was released on the record label Crucial blast on September 6th 2006. The album is a sludge metal album and post metal is a genre of it.","The band Nord is a sludge metal band that releases post-metal. They have an album called the Year of No light that was released on June 9th 2006, and was under Crucial Blast Label."
Lady_Anne_Monson birthDate 1726-01-01 Lady_Anne_Monson nationality Kingdom_of_England Lady_Anne_Monson professionalField Botany Lady_Anne_Monson residence India Lady_Anne_Monson spouse George_Monson ,"Lady Anne Monson was born on January 1st, 1726 in the Kingdom of England. She is a professional in Botany and lives in India. She is married to George Monson.","Lady Anne Monson, an English national and botanist, was born in 1726 on January, 1. She was married to George Monson and lived in India."
Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn San_Francisco ,The Bootleg Series Volume 1: The Quine Tapes was recorded in San Francisco.,The Bootleg Series Volume I: The Quine Tapes are recorded in San Francisco.
"Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva deathDate 1991-12-09 Olga_Bondareva deathPlace Saint_Petersburg Olga_Bondareva professionalField Economics Olga_Bondareva professionalField Mathematics ","Olga Bondareva was born in Leningrad, USSR and died in Saint Petersburg on 1991-12-09. She was a professional in the field of Economics and Mathematics.","Olga Bondareva was born in Leningrad, USSR and worked in Mathematics and Economics until her death in 1991 in Saint Petersburg."
Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) runtime 58.41 ,"The album Nord, which has a runtime of 58.41, is post-metal.",Nord is a post-metal album created by the band Year of No Light and has a runtime of 58 minutes and 41 seconds.
Ciudad_Ayala elevationAboveTheSeaLevel 1147.0 ,Ciudad Ayala is 1147 metres above sea level.,Ciudad Ayala is 1147m above sea level.
Expect_a_Miracle followedBy Afterplay_(Brian_Kelly_album) Expect_a_Miracle producer Brian_Kelly_(composer_&_pianist) ,"The album Afterplay was produced by Brian Kelly, who is a composer and pianist. Expect a Miracle was followed by Afterplay.","Expect a Miracle, produced by Brian Kelly, was followed by Afterplay by Brian Kelly."
It's_Great_to_Be_Young_(1956_film) musicComposer Louis_Levy It's_Great_to_Be_Young_(1956_film) starring Cecil_Parker ,It's Great to Be Young (1956 film) stars Cecil Parker and was composed by Louis Levy.,Louis Levy is the music composer of It's Great to Be Young a 1956 film starring Cecil Parker.
English_Without_Tears editing Alan_Jaggs English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears runtime 89.0 ,English Without Tears was edited by Alan Jaggs and has a runtime of 89.0. It was composed by Nicholas Brodszky.,"English Without Tears is a film with a running time of 89 minutes, which was edited by Alan Jaggs, with Nicholas Brodszky as the music composer."
"11th_Mississippi_Infantry_Monument category Contributing_property 11th_Mississippi_Infantry_Monument country ""United States"" Adams_County,_Pennsylvania hasToItsNorth Cumberland_County,_Pennsylvania Adams_County,_Pennsylvania hasToItsSoutheast Carroll_County,_Maryland 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania 11th_Mississippi_Infantry_Monument municipality Gettysburg,_Pennsylvania ","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania, United States. It is categorised as a contributing property and is located to the north of Cumberland County and to the southeast of Carroll County, Maryland.","The 11th Mississippi Infantry Monument is located in the United States in the municipality of Gettysburg which is in Adams County, Pennsylvania. To the southeast of Adams County, Pennsylvania lies Carroll County, Maryland while to its north is Cumberland County, Pennsylvania. The monument falls under the category of Contributing property."
Ciudad_Ayala country Mexico Ciudad_Ayala elevationAboveTheSeaLevel 1147.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala timeZone Pacific_Daylight_Time ,Ciudad Ayala is located in Mexico and is 1147.0 above sea level. Its population density is 1604.0 and it uses Pacific Daylight Time.,Ciudad Ayala (located in the country of Mexico) is in the PDT time zone. Its elevation above sea level is 1147.0 and the city has a population density of 1604.0.
Mermaid_(Train_song) followedBy Imagine_(John_Lennon_song) Mermaid_(Train_song) genre Reggae Mermaid_(Train_song) producer Espionage_(production_team) Mermaid_(Train_song) recordLabel Columbia_Records Mermaid_(Train_song) recordLabel Sony_Music_Entertainment Mermaid_(Train_song) runtime 3.16 ,The song Mermaid (Train Song) was produced by Espionage and is Reggae. It was released on Columbia Records and Sony Music Entertainment. It was followed by Imagine which is John Lennon's song. The song has a runtime of 3.16.,The Train song Mermaid had been released under the Sony Music Entertainment and Columbia record labels The song lasts 3.16 minutes and is in the reggae genre. It was produced by the Espionage production team and was followed by the band’s cover of the John Lennon song Imagine.
United_States areaTotal 9833520000000.0 Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn San_Francisco Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States San_Francisco utcOffset &minus;7 ,"The Bootleg Series Volume 1: The Quine Tapes was recorded in San Francisco, United States, where the UTC offset is minus 7.","Bootleg Series Volume 1: The Quine Tapes was recorded in San Francisco whose timezone is UTC-7, in the United States which has a total land area of 9833520000000 square kilometers."
Mermaid_(Train_song) genre Pop_rock Pop_rock musicFusionGenre Baroque_pop ,Mermaid (train song) is a pop rock song. Baroque pop is a fusion genre of pop rock.,"Mermaid, a song by the band Train, belongs to the genre of pop rock. An offshoot of pop rock is the fusion genre Baroque pop."
